year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2014,small_ruminant,sheep,"28,506.00","17,481.00","9,746.00","4,637.00","7,281.00","42,679.00","31,496.00","36,721.00","72,859.00","60,903.00","32,912.00","62,537.00","68,679.00","62,185.00","30,365.00","20,325.00","62,961.00","59,605.00","21,232.00","29,838.00","39,576.00","138,637.00","77,288.00","79,472.00","30,898.00","3,002.00","9,024.00","21,369.00","38,083.00","1,242.00",659.00,363.00,"8,250.00",475.00,728.00,963.00,187.00,"8,594.00"
2014,small_ruminant,goat,"132,395.00","163,704.00","340,635.00","181,029.00","136,967.00","135,280.00","235,121.00","93,585.00","49,514.00","79,627.00","37,717.00","49,977.00","50,139.00","69,597.00","31,520.00","116,736.00","135,793.00","120,571.00","64,271.00","37,918.00","78,543.00","110,461.00","115,623.00","99,852.00","66,357.00","70,990.00","45,539.00","63,150.00","147,735.00","2,465.00","4,471.00","1,071.00","7,435.00","2,302.00","1,018.00","2,806.00","2,299.00","5,946.00"
2014,large_ruminant,buffalo,113.00,275.00,229.00,341.00,"2,175.00",383.00,"1,266.00","4,694.00",327.00,"4,035.00",0.00,199.00,44.00,235.00,598.00,478.00,313.00,513.00,384.00,331.00,"1,389.00","1,020.00","1,875.00",335.00,198.00,"1,400.00",0.00,0.00,"5,039.00",113.00,0.00,145.00,0.00,1.00,6.00,9.00,27.00,17.00
2014,pseudo_ruminant,horse,76.00,114.00,17.00,27.00,118.00,294.00,626.00,944.00,332.00,549.00,987.00,227.00,659.00,922.00,105.00,134.00,14.00,34.00,172.00,162.00,70.00,178.00,347.00,67.00,209.00,621.00,137.00,62.00,"2,137.00",14.00,6.00,57.00,11.00,39.00,8.00,4.00,4.00,52.00
2014,large_ruminant,dairy_cattle,117.00,"1,634.00","4,566.00","23,663.00","14,102.00","9,029.00","75,683.00","4,243.00","1,378.00",807.00,26.00,213.00,"6,172.00","80,518.00","3,029.00","2,026.00","4,033.00",27.00,173.00,191.00,60.00,33.00,443.00,21.00,443.00,20.00,0.00,10.00,0.00,216.00,293.00,261.00,212.00,22.00,0.00,24.00,498.00,"11,060.00"
2014,large_ruminant,beef_cattle,"81,954.00","84,514.00","31,431.00","98,987.00","135,592.00","192,631.00","199,453.00","172,920.00","236,198.00","108,139.00","205,321.00","169,978.00","244,718.00","100,841.00","9,356.00","50,801.00","69,821.00","134,566.00","56,838.00","106,913.00","81,373.00","172,673.00","314,937.00","99,013.00","47,254.00","191,245.00","203,863.00","152,045.00","349,081.00","3,600.00","2,797.00","4,039.00","8,863.00",305.00,154.00,303.00,116.00,"2,700.00"
2015,monogastric_poultry,chicken_local,"891,540.00","860,639.00","908,517.00","3,885,591.00","2,596,300.00","1,297,715.00","2,254,982.00","1,023,943.00","1,698,475.00","1,152,352.00","552,459.00","526,450.00","564,937.00","1,265,027.00","344,007.00","745,493.00","1,709,944.00","1,225,148.00","1,525,783.00","728,080.00","579,662.00","1,531,312.00","1,312,880.00","1,989,343.00","680,930.00","990,545.00","761,101.00","826,011.00","776,742.00","133,875.00","57,450.00","54,219.00","77,205.00","43,904.00","13,000.00","66,060.00","26,773.00","49,920.00"
2015,monogastric_poultry,chicken_broiler,"742,500.00","2,699,250.00","1,919,920.00","2,886,400.00","4,222,400.00","10,896,810.00","27,642,192.00","9,811,040.00","12,120,036.00","3,239,585.00","1,938,800.00","408,568.00","2,878,754.00","11,407,415.00","101,400.00","1,452,858.00","10,984,000.00","3,121,600.00","1,151,072.00","9,274,395.00","1,098,028.00","1,040,101.00","10,632,108.00","46,200,488.00","13,560,000.00","758,000.00","100,166.00","633,000.00","574,250.00","52,000.00","138,750.00","150,000.00","37,800.00","36,388.00",0.00,"10,800.00",0.00,"144,000.00"
2015,monogastric_poultry,chicken_layer,"14,450.00","249,594.00","138,788.00","4,011,274.00","14,973,000.00","8,595,948.00","3,597,860.00","520,877.00","1,109,578.00","544,700.00","161,753.00","42,250.00","207,095.00","1,323,029.00","46,922.00","349,554.00","1,281,200.00","459,750.00","193,743.00","2,804,524.00","164,820.00","23,345.00","192,475.00","514,831.00","153,300.00","100,909.00","47,676.00","424,668.00","319,703.00","15,000.00","311,150.00","150,300.00","15,230.00","1,070.00",0.00,"1,600.00",0.00,"159,500.00"
2015,monogastric_poultry,duck,"6,196.00","51,882.00","172,532.00","485,206.00","879,000.00","187,952.00","468,481.00","309,782.00","183,606.00","306,965.00","59,485.00","55,082.00","84,522.00","106,995.00","223,454.00","251,125.00","203,638.00","133,583.00","39,610.00","48,284.00","61,464.00","73,941.00","58,900.00","206,183.00","29,145.00","59,738.00","44,954.00","49,792.00","56,027.00","4,411.00","6,600.00","15,474.00",553.00,"21,607.00","3,100.00","5,264.00","3,583.00","25,660.00"
