year,category,livestock,Pacitan,Ponorogo,Trenggalek,Tulungagung,Blitar,Kediri,Malang,Lumajang,Jember,Banyuwangi,Bondowoso,Situbondo,Probolinggo,Pasuruan,Sidoarjo,Mojokerto,Jombang,Nganjuk,Madiun,Magetan,Ngawi,Bojonegoro,Tuban,Lamongan,Gresik,Bangkalan,Sampang,Pamekasan,Sumenep,Kotakediri,Kotablitar,Kotamalang,Kotaprobolinggo,Kotapasuruan,Kotamojokerto,Kotamadiun,Surabaya,Batu
2017,monogastric_poultry,chicken_broiler,854900,2329290,228354,4818398,416800,11280929,28927203,11947743,11851934,293946,1927800,1190350,3364300,127175,85400,7213900,9369660,2932700,1254136,16629206,17020,1929109,13697425,51171862,16391460,372153,100261,896355,144715,169490,84180,5250,39350,460,0,160,0,5610
2017,monogastric_poultry,chicken_layer,37950,348201,146776,486300,15365100,7974816,5912692,838409,1149215,951650,169735,25110,15240,1392602,46105,4750,1167265,45450,297308,279575,195592,34322,520952,567960,184620,1057,5217,477930,324180,11500,312500,169500,11850,1447,0,2100,0,143700
2017,monogastric_poultry,duck,6367,83699,185179,519338,110800,239128,492632,316952,188770,2842,64601,54222,150796,105949,264922,321500,241158,168394,42267,6336,76787,90661,62560,223470,3176,74942,45880,500,56835,8877,7900,1268,842,21780,4500,5342,2189,21550
2017,monogastric_poultry,muscovy_duck,11434,22481,56059,81496,61780,59032,420892,0,2043,21754,15080,8714,17114,20054,4963,40231,69193,49999,18548,8944,11735,43508,115870,51045,30882,38811,26930,22209,12290,1540,3255,651,684,737,425,891,707,2975
2017,monogastric,swine,0,215,4,11984,8052,2475,13581,2758,506,634,0,0,1681,0,0,3000,9,1095,118,9932,912,0,300,0,0,0,0,0,0,0,376,0,0,0,10,0,0,264
2017,small_ruminant,sheep,30261,16830,10726,8169,7916,43668,33776,45829,76673,92586,41156,55794,73109,66806,37961,25612,62352,6374,22667,34763,43168,161402,90435,85281,34343,256,9631,22107,39128,2823,690,394,9247,670,1200,992,52,8715
2017,small_ruminant,goat,161191,205942,39812,215420,153341,141670,253209,103658,52288,125479,44399,41539,67489,71880,36369,5037,11042,123746,76445,40864,79703,129503,13152,103953,73546,89899,46587,66418,151714,2486,3274,135,7858,2997,1810,2918,2165,6385
2017,large_ruminant,buffalo,121,49,257,386,26,371,1164,4817,285,3349,0,225,43,250,546,399,270,777,323,164,955,902,1831,343,229,1275,0,0,571,59,0,60,0,0,6,8,60,21
2017,pseudo_ruminant,horse,76,76,20,41,189,285,882,1004,391,533,926,142,589,908,111,276,24,23,153,198,71,116,109,138,239,603,139,39,2167,6,6,37,12,45,8,4,4,168
2017,large_ruminant,dairy_cattle,249,2384,4921,25355,15680,10167,83660,5005,1527,857,20,220,6653,90817,3965,3196,4630,3,205,291,38,26,89,34,505,20,0,12,0,113,314,192,218,18,0,21,526,11950
2017,large_ruminant,beef_cattle,86611,81823,34515,114556,148414,223216,234481,20344,253113,116274,21913,171865,266884,112328,11693,55141,66926,138929,60881,117599,79437,218131,334143,107629,54446,206946,21520,192455,361127,4377,3180,3756,9983,428,138,297,129,2685
2018,monogastric_poultry,chicken_local,1680399,799298,134133,2459964,2620400,1347603,2416742,1754937,2418468,178992,694197,369160,550737,1276439,391964,669425,954252,1226669,168554,592931,590586,1578729,1584907,2138982,726626,197987,762499,865863,787853,62208,80670,54565,8247,48261,11900,60880,13992,38775
2018,monogastric_poultry,chicken_broiler,992350,2383600,289204,864473,430800,1144531,2912817,12421375,11794938,3183304,1928300,1132706,3458165,12559629,347403,860893,12339850,360700,1637319,21452508,212650,488357,1441890,5938537,16715708,377981,119465,913600,580520,2170,569,651600,68100,41500,0,2550,0,5380
2018,monogastric_poultry,chicken_layer,88950,34610,148901,5116700,16800100,849842,5913838,836380,1172197,15185,191900,25500,114401,1459123,47365,687674,572100,496975,299200,2862100,221941,68242,561625,575791,188394,10796,89736,4840,326760,10200,318500,164500,14650,2380,0,900,135,140500
2018,monogastric_poultry,duck,6464,58514,191687,549302,11800,243158,503278,317492,192542,2590,65418,6192,163800,104987,270973,30079,235275,173293,43542,72322,79418,95375,65292,243870,31890,76695,48342,49990,57244,7858,5710,9600,866,32125,3700,5184,216,9550
2018,monogastric_poultry,muscovy_duck,11434,22481,56059,81496,61780,59032,420892,0,2043,21754,15080,8714,17114,20054,4963,40231,69193,49999,18548,8944,11735,43508,115870,51045,30882,38811,26930,22209,12290,1540,3255,651,684,737,425,891,707,2975
2018,monogastric,swine,0,210,4,11573,820,284,13914,2346,519,537,0,0,1.64,0,0,9500,15,995,120,9119,126,0,300,0,0,0,0,0,0,0,280,0,0,0,8,0,0,264
2018,small_ruminant,sheep,30994,19671,10945,7410,7314,4462,34294,49616,7927,101457,41678,52683,67926,68272,39284,18495,50474,65567,23113,36472,43859,169990,93318,85903,35748,1928,9750,22106,39650,2392,780,192,9623,702,870,977,250,7950
2018,small_ruminant,goat,183916,265388,417508,197174,154100,14392,258317,111657,53374,126110,45976,4083,51550,71996,37390,49729,96557,12565,78777,44163,80440,135570,137615,1055,76839,91563,46760,66426,153378,2813,3352,1209,817,3104,1230,2861,2566,5965
2018,large_ruminant,buffalo,119,45,261,360,1820,354,151,42,303,3190,0,246,80,231,605,298,182,767,316,163,17,857,997,363,234,1276,0,39,571,82,0,31,0,0,5,2,30,16
2018,pseudo_ruminant,horse,76,55,20,44,192,278,665,972,468,343,941,140,560,892,119,242,26,23,143,229,64,110,94,135,239,603,138,39,2167,6,6,21,11,42,8,4,44,171
2018,large_ruminant,dairy_cattle,328,2446,5118,24785,15780,10380,85206,6390,1543,698,19,201,6752,92931,4498,2238,5689,11,214,324,47,25,62,34,527,20,0,14,0,102,334,274,221,20,0,21,428,12684
2018,large_ruminant,beef_cattle,88633,83248,35853,122652,156386,23020,234761,208242,258205,119834,224917,176311,275565,115768,12441,55329,69670,14024,6299,120677,8117,231120,339563,109757,57281,226897,215664,194283,367382,4382,3225,2839,10397,432,104,290,112,2590
