Umur (minggu),Perusahaan,Breeds,Konsumsi_(g/hari),Konsumsi_(g/minggu),Konsumsi/(BB^0.75)_(g/minggu),BB_(g/minggu),BB^0.75_(g/minggu),%_Ca,Konsumsi-Ca_(g/minggu),%_P-Ter.,Konsumsi_P-Tersedia_(g/minggu),%_P,Konsumsi_P_(g/minggu)
28,HG,BW,107,749,118.63,"1,589.00",251.68,2.05,2.43,0.42,0.50,0.65,0.77
29,HG,BW,107,749,118.41,"1,601.00",253.10,2.05,2.43,0.42,0.50,0.65,0.77
30,HG,BW,108,756,119.33,"1,611.00",254.29,2.05,2.45,0.42,0.50,0.65,0.78
31,HG,BW,108,756,119.16,"1,620.00",255.35,2.05,2.44,0.42,0.50,0.65,0.77
32,HG,BW,108,756,119.00,"1,629.00",256.41,2.05,2.44,0.42,0.50,0.65,0.77
33,HG,BW,108,756,118.85,"1,637.00",257.36,2.05,2.44,0.42,0.50,0.65,0.77
34,HG,BW,109,763,119.81,"1,645.00",258.30,2.05,2.46,0.42,0.50,0.65,0.78
35,HG,BW,109,763,119.68,"1,652.00",259.12,2.05,2.45,0.42,0.50,0.65,0.78
8,HG,DB,50,350,67.98,702.50,136.45,1.00,0.68,0.42,0.29,0.70,0.48
9,HG,DB,52,364,68.32,806.00,151.27,0.95,0.65,0.36,0.25,0.58,0.40
10,HG,DB,58,406,73.94,909.00,165.55,0.95,0.70,0.36,0.27,0.58,0.43
11,HG,DB,61,427,75.76,"1,009.00",179.03,0.95,0.72,0.36,0.27,0.58,0.44
12,HG,DB,64,448,77.68,"1,106.50",191.85,0.95,0.74,0.36,0.28,0.58,0.45
13,HG,DB,67,469,79.70,"1,199.00",203.76,0.95,0.76,0.36,0.29,0.58,0.46
14,HG,DB,70,490,81.81,"1,287.00",214.87,0.95,0.78,0.36,0.29,0.58,0.47
15,HG,DB,73,511,84.00,"1,369.50",225.12,0.95,0.80,0.36,0.30,0.58,0.49
16,HG,DB,76,532,86.29,"1,445.00",234.37,0.95,0.82,0.36,0.31,0.58,0.50
17,HG,DB,80,560,89.78,"1,514.00",242.71,2.05,1.84,0.42,0.38,0.65,0.58
18,HG,DB,86,602,95.54,"1,576.00",250.13,2.05,1.96,0.42,0.40,0.65,0.62
19,HG,DB,92,644,101.35,"1,630.00",256.53,2.05,2.08,0.42,0.43,0.65,0.66
20,HG,DB,98,735,114.84,"1,678.00",262.18,2.05,2.35,0.42,0.48,0.65,0.75
21,HG,DB,105,735,114.25,"1,713.00",266.27,2.05,2.34,0.42,0.48,0.65,0.74
